"REF_DATE","GEO","DGUID","Class of electricity producer","Type of electricity generation","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2013-02","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","4336105","","","","0"
"2013-03","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","4441412","","","","0"
"2013-04","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","3346047","","","","0"
"2013-05","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","2971447","","","","0"
"2013-06","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","2108901","","","","0"
"2013-07","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","3058268","","","","0"
"2013-08","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","2708784","","","","0"
"2013-09","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","2516242","","","","0"
"2013-10","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","2961517","","","","0"
"2013-11","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","4106535","","","","0"
"2013-12","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","4726504","","","","0"
"2014-01","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","4741686","","","","0"
"2014-02","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","4141536","","","","0"
"2014-03","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","4809148","","","","0"
"2014-04","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","3172289","","","","0"
"2014-05","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","2679141","","","","0"
"2014-06","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","1962423","","","","0"
"2014-07","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","2265288","","","","0"
"2014-08","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","2066514","","","","0"
"2014-09","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","2271396","","","","0"
"2014-10","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","2796747","","","","0"
"2014-11","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","4150277","","","","0"
"2014-12","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","4689615","","","","0"
"2015-01","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","4943603","","r","","0"
"2015-02","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","4495085","","r","","0"
"2015-03","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","4854214","","r","","0"
"2015-04","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","3345653","","","","0"
"2015-05","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","2927314","","","","0"
"2015-06","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","2432385","","","","0"
"2015-07","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","2483953","","","","0"
"2015-08","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","2456943","","","","0"
"2015-09","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","2177383","","","","0"
"2015-10","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","3074156","","","","0"
"2015-11","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","4066568","","","","0"
"2015-12","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","4440899","","","","0"
"2016-01","Newfoundland and Labrador","2016A000210","Total all classes of electricity producer","Total all types of electricity generation","Megawatt hours","210","units","0","v44174695","2.1.1","4905508","","","","0"
