Country Name,"Country Code","Series Name","Series Code","2018Q1 [YR2018Q1]","2018Q2 [YR2018Q2]","2018Q3 [YR2018Q3]","2018Q4 [YR2018Q4]","2019Q1 [YR2019Q1]","2019Q2 [YR2019Q2]","2019Q3 [YR2019Q3]","2019Q4 [YR2019Q4]","2020Q1 [YR2020Q1]","2020Q2 [YR2020Q2]","2020Q3 [YR2020Q3]","2020Q4 [YR2020Q4]","2021Q1 [YR2021Q1]","2021Q2 [YR2021Q2]","2021Q3 [YR2021Q3]","2021Q4 [YR2021Q4]","2022Q1 [YR2022Q1]","2022Q2 [YR2022Q2]","2022Q3 [YR2022Q3]","2022Q4 [YR2022Q4]"
United Kingdom,"GBR","Gross PSD, Total, Short-term, Loans, Nominal Value, US$","DP.DOD.DSLO.CR.PS.CD","25628489900","24549841800","23356431000","34572385600","27786281100","20693312500","15696076000","31660867350","22870633150","45416801650","40043816250","43088936000","37025160000","28951489200","27068838000","24675571200","25568474000","18726568500","14303911600","17386367600"
United Kingdom,"GBR","Gross PSD, Total, Short-term, Insurance, pensions, and standardized guarantee schemes, Nominal Value, US$","DP.DOD.DSIN.CR.PS.CD","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
United Kingdom,"GBR","Gross PSD, Total, Short-term, Debt securities, Nominal Value, US$","DP.DOD.DSDS.CR.PS.CD","91066492450","83943009700","99909709200","90722043000","98654272350","88579050000","126044656700","141280502650","103064321100","122594565500","101086735500","75566678000","73399282800","87275902800","79414285000","64193025600","48267713700","48583729800","56748661200","74475248400"
United Kingdom,"GBR","Gross PSD, Total, Short-term, Currency and deposits, Nominal Value, US$","DP.DOD.DSCD.CR.PS.CD","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
United Kingdom,"GBR","Gross PSD, Total, Short-term, All instruments, Nominal Value, US$","DP.DOD.DSTC.CR.PS.CD","116694982350","108492851500","123266140200","125294428600","126440553450","109272362500","141740732700","172941370000","125934954250","168011367150","141130551750","118655614000","110424442800","116227392000","106483123000","88868596800","73836187700","67310298300","71052572800","91861616000"
United States,"USA","Gross PSD, Total, Short-term, Other accounts payable, Nominal Value, US$","DP.DOD.DSOA.CR.PS.CD","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
United States,"USA","Gross PSD, Total, Short-term, Loans, Nominal Value, US$","DP.DOD.DSLO.CR.PS.CD","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
United States,"USA","Gross PSD, Total, Short-term, Insurance, pensions, and standardized guarantee schemes, Nominal Value, US$","DP.DOD.DSIN.CR.PS.CD","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
United States,"USA","Gross PSD, Total, Short-term, Debt securities, Nominal Value, US$","DP.DOD.DSDS.CR.PS.CD","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
United States,"USA","Gross PSD, Total, Short-term, Currency and deposits, Nominal Value, US$","DP.DOD.DSCD.CR.PS.CD","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
United States,"USA","Gross PSD, Total, Short-term, All instruments, Nominal Value, US$","DP.DOD.DSTC.CR.PS.CD","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
