"REF_DATE","GEO","DGUID","Sector","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018","Canada","2016A000011124","Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission","Kilotonnes","198","units","0","v79875112","1.118","740005","","","","0"
"2019","Canada","2016A000011124","Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission","Kilotonnes","198","units","0","v79875112","1.118","738283","","","","0"
"2020","Canada","2016A000011124","Total, United Nations Framework Convention on Climate Change (UNFCCC), Canada's submission","Kilotonnes","198","units","0","v79875112","1.118","672354","","","","0"
"2009","Canada","2016A000011124","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v79875113","1.119","-44862","","","","0"
"2010","Canada","2016A000011124","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v79875113","1.119","-47195","","","","0"
"2011","Canada","2016A000011124","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v79875113","1.119","-47650","","","","0"
"2012","Canada","2016A000011124","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v79875113","1.119","-43131","","","","0"
"2013","Canada","2016A000011124","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v79875113","1.119","-46059","","","","0"
"2014","Canada","2016A000011124","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v79875113","1.119","-49687","","","","0"
"2015","Canada","2016A000011124","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v79875113","1.119","-51464","","","","0"
"2016","Canada","2016A000011124","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v79875113","1.119","-42828","","","","0"
"2017","Canada","2016A000011124","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v79875113","1.119","-47889","","","","0"
"2018","Canada","2016A000011124","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v79875113","1.119","-48066","","","","0"
"2019","Canada","2016A000011124","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v79875113","1.119","-43226","","","","0"
"2020","Canada","2016A000011124","Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)","Kilotonnes","198","units","0","v79875113","1.119","-28436","","","","0"
"2009","Newfoundland and Labrador","2016A000210","Total, industries and households","Kilotonnes","198","units","0","v1013973302","2.1","9324","","","","0"
"2010","Newfoundland and Labrador","2016A000210","Total, industries and households","Kilotonnes","198","units","0","v1013973302","2.1","9474","","","","0"
"2011","Newfoundland and Labrador","2016A000210","Total, industries and households","Kilotonnes","198","units","0","v1013973302","2.1","9627","","","","0"
"2012","Newfoundland and Labrador","2016A000210","Total, industries and households","Kilotonnes","198","units","0","v1013973302","2.1","9171","","","","0"
"2013","Newfoundland and Labrador","2016A000210","Total, industries and households","Kilotonnes","198","units","0","v1013973302","2.1","9260","","","","0"
"2014","Newfoundland and Labrador","2016A000210","Total, industries and households","Kilotonnes","198","units","0","v1013973302","2.1","10261","","","","0"
"2015","Newfoundland and Labrador","2016A000210","Total, industries and households","Kilotonnes","198","units","0","v1013973302","2.1","10860","","","","0"
"2016","Newfoundland and Labrador","2016A000210","Total, industries and households","Kilotonnes","198","units","0","v1013973302","2.1","11206","","","","0"
"2017","Newfoundland and Labrador","2016A000210","Total, industries and households","Kilotonnes","198","units","0","v1013973302","2.1","10997","","","","0"
"2018","Newfoundland and Labrador","2016A000210","Total, industries and households","Kilotonnes","198","units","0","v1013973302","2.1","10704","","","","0"
"2019","Newfoundland and Labrador","2016A000210","Total, industries and households","Kilotonnes","198","units","0","v1013973302","2.1","10592","","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total, industries and households","Kilotonnes","198","units","0","v1013973302","2.1","9041","","","","0"
"2009","Newfoundland and Labrador","2016A000210","Total, industries","Kilotonnes","198","units","0","v1013973303","2.2","7250","","","","0"
"2010","Newfoundland and Labrador","2016A000210","Total, industries","Kilotonnes","198","units","0","v1013973303","2.2","7436","","","","0"
"2011","Newfoundland and Labrador","2016A000210","Total, industries","Kilotonnes","198","units","0","v1013973303","2.2","7240","","","","0"
"2012","Newfoundland and Labrador","2016A000210","Total, industries","Kilotonnes","198","units","0","v1013973303","2.2","6812","","","","0"
"2013","Newfoundland and Labrador","2016A000210","Total, industries","Kilotonnes","198","units","0","v1013973303","2.2","7011","","","","0"
"2014","Newfoundland and Labrador","2016A000210","Total, industries","Kilotonnes","198","units","0","v1013973303","2.2","7746","","","","0"
"2015","Newfoundland and Labrador","2016A000210","Total, industries","Kilotonnes","198","units","0","v1013973303","2.2","8452","","","","0"
"2016","Newfoundland and Labrador","2016A000210","Total, industries","Kilotonnes","198","units","0","v1013973303","2.2","8755","","","","0"
"2017","Newfoundland and Labrador","2016A000210","Total, industries","Kilotonnes","198","units","0","v1013973303","2.2","8262","","","","0"
"2018","Newfoundland and Labrador","2016A000210","Total, industries","Kilotonnes","198","units","0","v1013973303","2.2","7989","","","","0"
"2019","Newfoundland and Labrador","2016A000210","Total, industries","Kilotonnes","198","units","0","v1013973303","2.2","7924","","","","0"
"2020","Newfoundland and Labrador","2016A000210","Total, industries","Kilotonnes","198","units","0","v1013973303","2.2","6438","","","","0"
