event,disaster_type,year,month,day,full_date,cost,deaths,days_between
Southeast Freeze (March 2017),Freeze,2017,3,14,3/14/2017,1080,0,8
South/Southeast Severe Weather (March 2017),Severe Storm,2017,3,26,3/26/2017,2910.6,0,12
Missouri and Arkansas Flooding and Central Severe Weather (May 2017),Flooding,2017,4,25,4/25/2017,1791.7,20,30
Colorado Hail Storm and Central Severe Weather (May 2017),Severe Storm,2017,5,8,5/8/2017,3618,0,13
"Western Wildfires, California Firestorm (Summer-Fall 2017)",Wildfire,2017,6,1,6/1/2017,19265.4,54,24
Minnesota Hail Storm and Upper Midwest Severe Weather (June 2017),Severe Storm,2017,6,9,6/9/2017,2538,0,8
Midwest Severe Weather (June 2017),Severe Storm,2017,6,12,6/12/2017,1629.7,0,3
Midwest Severe Weather (June 2017),Severe Storm,2017,6,27,6/27/2017,1539,0,15
Hurricane Harvey (August 2017),Tropical Cyclone,2017,8,25,8/25/2017,133750,89,59
Hurricane Irma (September 2017),Tropical Cyclone,2017,9,6,9/6/2017,53500,97,12
Hurricane Maria (September 2017),Tropical Cyclone,2017,9,19,9/19/2017,96300,2981,13
Central and Eastern Winter Storm (January 2018),Winter Storm,2018,1,3,1/3/2018,1105.5,22,NA
Northeast Winter Storm (March 2018),Winter Storm,2018,3,1,3/1/2018,2325.7,9,57
Southeastern Tornadoes and Severe Weather (March 2018),Severe Storm,2018,3,18,3/18/2018,1539.1,0,17
Southern and Eastern Tornadoes and Severe Weather (April 2018),Severe Storm,2018,4,13,4/13/2018,1384.2,3,26
Central and Northeastern Severe Weather (May 2018),Severe Storm,2018,5,1,5/1/2018,1473.3,0,18
Central and Eastern Severe Weather (May 2018),Severe Storm,2018,5,13,5/13/2018,1438.9,5,12
Southwest/Southern Plains Drought (Summer-Fall 2018),Drought,2018,6,1,6/1/2018,3109.6,0,19
"Western Wildfires, California Firestorm (Summer-Fall 2018)",Wildfire,2018,6,1,6/1/2018,24960,106,0
Texas Hail Storm (June 2018),Severe Storm,2018,6,6,6/6/2018,1365,0,5
Colorado Hail Storm (June 2018),Severe Storm,2018,6,18,6/18/2018,2311.9,0,12
Central and Eastern Tornadoes and Severe Weather (July 2018),Severe Storm,2018,7,19,7/19/2018,1648.3,0,31
Rockies and Plains Hail Storms (August 2018),Severe Storm,2018,8,6,8/6/2018,1066,0,18
Hurricane Florence (September 2018),Tropical Cyclone,2018,9,13,9/13/2018,24960,53,38
Hurricane Michael (October 2018),Tropical Cyclone,2018,10,10,10/10/2018,25974,49,27
"Southeast, Ohio Valley and Northeast Severe Weather (February 2019)",Severe Storm,2019,2,23,2/23/2019,1287,2,NA
Missouri River and North Central Flooding (March 2019),Flooding,2019,3,14,3/14/2019,11048.9,3,19
"Mississippi River, Midwest and Southern Flooding (July 2019)",Flooding,2019,3,15,3/15/2019,6354.3,4,1
Texas Hail Storm (March 2019),Severe Storm,2019,3,22,3/22/2019,1581.1,0,7
Southern and Eastern Tornadoes and Severe Weather (April 2019),Severe Storm,2019,4,13,4/13/2019,1289.6,7,22
South and Southeast Severe Weather (May 2019),Severe Storm,2019,5,7,5/7/2019,1559.6,0,24
Central Severe Weather (May 2019),Severe Storm,2019,5,16,5/16/2019,1002.3,0,9
Arkansas River Flooding (June 2019),Flooding,2019,5,20,5/20/2019,3115.8,5,4
"Rockies, Central and Northeast Tornadoes and Severe Weather (May 2019)",Severe Storm,2019,5,26,5/26/2019,4633,3,6
California and Alaska Wildfires (Summer-Fall 2019),Wildfire,2019,6,1,6/1/2019,4635,3,6
Colorado Hail Storms (July 2019),Severe Storm,2019,7,4,7/4/2019,1038.2,0,33
Hurricane Dorian (September 2019),Tropical Cyclone,2019,8,28,8/28/2019,1658.3,10,55
Tropical Storm Imelda (September 2019),Tropical Cyclone,2019,9,17,9/17/2019,5100,5,20
Texas Tornadoes and Central Severe Weather (October 2019),Severe Storm,2019,10,20,10/20/2019,1752.3,2,33
Southeast Tornadoes and Northern Storms and Flooding (January 2020),Severe Storm,2020,1,10,1/10/2020,1172,10,NA
"South, East and Northeast Severe Weather (February 2020)",Severe Storm,2020,2,5,2/5/2020,1281,3,26
Tennessee Tornadoes and Southeast Severe Weather (March 2020),Severe Storm,2020,3,2,3/2/2020,2382.8,25,26
Midwest and Ohio Valley Severe Weather (March 2020),Severe Storm,2020,3,27,3/27/2020,2609.3,0,25
North Central and Ohio Valley Hail Storms and Severe Weather (April 2020),Severe Storm,2020,4,7,4/7/2020,2967.7,0,11
Southeast and Eastern Tornado Outbreak (April 2020),Severe Storm,2020,4,12,4/12/2020,3547.4,35,5
Southern Severe Weather (April 2020),Severe Storm,2020,4,21,4/21/2020,1390.6,3,9
"Central, Southern and Eastern Severe Weather (April 2020)",Severe Storm,2020,4,27,4/27/2020,1057.9,1,6
Central and Eastern Severe Weather (May 2020),Severe Storm,2020,5,3,5/3/2020,2176.3,2,6
"South, Central and Eastern Severe Weather (May 2020)",Severe Storm,2020,5,20,5/20/2020,1631.8,2,17
South Texas Hail Storms (May 2020),Severe Storm,2020,5,27,5/27/2020,1442,0,7
Western/Central Drought and Heatwave (Summer-Fall 2020),Drought,2020,6,1,6/1/2020,4540.1,45,5
Central Severe Weather (July 2020),Severe Storm,2020,7,10,7/10/2020,1219.9,0,39
Hurricane Hanna (July 2020),Tropical Cyclone,2020,7,25,7/25/2020,1085.8,0,15
"Western Wildfires - California, Oregon, Washington Firestorms (Fall 2020)",Wildfire,2020,8,1,8/1/2020,16614.5,46,7
Hurricane Isaias (August 2020),Tropical Cyclone,2020,8,3,8/3/2020,4804.7,16,2
Central Severe Weather - Derecho (August 2020),Severe Storm,2020,8,10,8/10/2020,11247.5,4,7
Hurricane Laura (August 2020),Tropical Cyclone,2020,8,27,8/27/2020,19180,42,17
Hurricane Sally (September 2020),Tropical Cyclone,2020,9,15,9/15/2020,7346.7,5,19
Hurricane Delta (October 2020),Tropical Cyclone,2020,10,9,10/9/2020,2895.9,5,24
Hurricane Zeta (October 2020),Tropical Cyclone,2020,10,28,10/28/2020,4395.6,6,19
Tropical Storm Eta (November 2020),Tropical Cyclone,2020,11,8,11/8/2020,1474.7,12,11
Western Drought and Heatwave (June 2021),Drought,2021,1,1,1/1/2021,TBD,138,NA
California Flooding and Severe Weather (January 2021),Flooding,2021,1,24,1/24/2021,1127.9,2,23
"Northwest, Central, Eastern Winter Storm and Cold Wave (February 2021)",Winter Storm,2021,2,10,2/10/2021,20375.6,172,17
Southeast Tornadoes and Severe Weather (March 2021),Severe Storm,2021,3,24,3/24/2021,1642.2,6,42
Eastern Severe Weather (March 2021),Severe Storm,2021,3,27,3/27/2021,1353.5,8,3
Texas Hail Storms (April 2021),Severe Storm,2021,4,12,4/12/2021,1238.3,0,16
Texas and Oklahoma Severe Weather (April 2021),Severe Storm,2021,4,27,4/27/2021,2366.4,0,15
Louisiana Flooding and Central Severe Weather (May 2021),Flooding,2021,5,15,5/15/2021,1275,5,18
