event,disaster_type,year,month,day,full_date,cost,deaths,days_between
Central Tornadoes and Severe Weather (May 2009),Severe Storm,2009,5,7,5/7/2009,1059.1,7,28
Western Wildfires (Summer-Fall 2009),Wildfire,2009,6,1,6/1/2009,1264.9,10,25
"Midwest, South and East Severe Weather (June 2009)",Severe Storm,2009,6,9,6/9/2009,1660.3,0,8
Colorado Hail Storm (July 2009),Severe Storm,2009,7,20,7/20/2009,1250,0,41
Northeast Winter Storm (February 2010),Winter Storm,2010,2,9,2/9/2010,988.7,3,NA
Northeast Flooding (March 2010),Flooding,2010,3,1,3/1/2010,2231.5,11,20
East/South Flooding and Severe Weather (May 2010),Flooding,2010,4,30,4/30/2010,2742.3,32,60
"Oklahoma, Kansas, and Texas Tornadoes and Severe Weather (May 2010)",Severe Storm,2010,5,10,5/10/2010,4034,3,10
Rockies/Central/East Severe Weather (June 2010),Severe Storm,2010,6,10,6/10/2010,1090.3,2,31
Midwest/Northeast Severe Storms and Flooding (July 2010),Severe Storm,2010,7,20,7/20/2010,1147.5,0,40
Arizona Severe Weather (October 2010),Severe Storm,2010,10,5,10/5/2010,4598,0,77
Groundhog Day Blizzard (February 2011),Winter Storm,2011,2,1,2/1/2011,2135.1,36,NA
Southern Plains/Southwest Drought & Heat Wave (Spring-Summer 2011),Drought,2011,3,1,3/1/2011,14238.3,95,28
Mississippi River flooding (April-May 2011),Flooding,2011,4,1,4/1/2011,3553.3,7,31
Midwest/Southeast Tornadoes (April 2011),Severe Storm,2011,4,4,4/4/2011,3302.6,9,3
Southeast/Midwest Tornadoes (April 2011),Severe Storm,2011,4,8,4/8/2011,2593.4,0,4
Midwest/Southeast Tornadoes (April 2011),Severe Storm,2011,4,14,4/14/2011,2450.6,38,6
Ohio Valley/South Tornadoes (April 2011),Severe Storm,2011,4,19,4/19/2011,1234.6,0,5
Southeast/Ohio Valley/Midwest Tornadoes (April 2011),Severe Storm,2011,4,25,4/25/2011,12164.2,321,6
Missouri River flooding (May-June 2011),Flooding,2011,5,1,5/1/2011,2382.8,5,6
Midwest/Southeast Tornadoes (May 2011),Severe Storm,2011,5,22,5/22/2011,10825.2,177,21
"Texas, New Mexico, Arizona Wildfires (Summer-Fall 2011)",Wildfire,2011,6,1,6/1/2011,2166.6,5,10
Midwest/Southeast Tornadoes and Severe Weather (June 2011),Severe Storm,2011,6,18,6/18/2011,1829.3,3,17
Rockies and Midwest Severe Weather (July 2011),Severe Storm,2011,7,10,7/10/2011,1457.7,2,22
