station,year,swe,lat,lon,ele,z
1A05,1990,1140,53.95,-121.4333333,1693,1.599694067
1A05,1991,1082,53.95,-121.4333333,1693,1.331068969
1A05,1992,884,53.95,-121.4333333,1693,0.414038464
1A05,1993,544,53.95,-121.4333333,1693,-1.160660383
1A05,1994,1000,53.95,-121.4333333,1693,0.951288659
1A05,1995,562,53.95,-121.4333333,1693,-1.077293973
1A05,1996,676,53.95,-121.4333333,1693,-0.549306713
1A05,1998,568,53.95,-121.4333333,1693,-1.04950517
1A05,1999,840,53.95,-121.4333333,1693,0.210253908
1A05,2000,680,53.95,-121.4333333,1693,-0.530780844
1A05,2001,572,53.95,-121.4333333,1693,-1.030979301
1A05,2003,614,53.95,-121.4333333,1693,-0.836457679
1A05,2004,716,53.95,-121.4333333,1693,-0.364048025
1A05,2005,762,53.95,-121.4333333,1693,-0.151000534
1A05,2006,520,53.95,-121.4333333,1693,-1.271815595
1A05,2007,920,53.95,-121.4333333,1693,0.580771283
1A05,2008,1010,53.95,-121.4333333,1693,0.997603331
1A05,2009,1024,53.95,-121.4333333,1693,1.062443872
1A05,2010,700,53.95,-121.4333333,1693,-0.4381515
1A05,2012,1150,53.95,-121.4333333,1693,1.646008739
1A05,2013,1220,53.95,-121.4333333,1693,1.970211442
1A05,2014,1274,53.95,-121.4333333,1693,2.220310671
1A05,2016,632,53.95,-121.4333333,1693,-0.753091269
1A05,2018,952,53.95,-121.4333333,1693,0.728978234
1A05,2019,846,53.95,-121.4333333,1693,0.238042711
1A05,2020,1378,53.95,-121.4333333,1693,2.70198326
1A05,2021,1056,53.95,-121.4333333,1693,1.210650822
1C01,1945,99,49.8,-120.8666667,994,-1.325334497
1C01,1946,307,49.8,-120.8666667,994,1.364636014
1C01,1947,269,49.8,-120.8666667,994,0.873199094
1C01,1948,193,49.8,-120.8666667,994,-0.109674747
1C01,1949,333,49.8,-120.8666667,994,1.700882328
1C01,1950,323,49.8,-120.8666667,994,1.571556823
1C01,1951,338,49.8,-120.8666667,994,1.765545081
1C01,1952,226,49.8,-120.8666667,994,0.317099421
1C01,1953,183,49.8,-120.8666667,994,-0.239000252
1C01,1954,333,49.8,-120.8666667,994,1.700882328
1C01,1955,196,49.8,-120.8666667,994,-0.070877095
1C01,1956,353,49.8,-120.8666667,994,1.959533339
1C01,1957,178,49.8,-120.8666667,994,-0.303663005
1C01,1958,211,49.8,-120.8666667,994,0.123111163
1C01,1959,376,49.8,-120.8666667,994,2.256982001
1C01,1960,246,49.8,-120.8666667,994,0.575750432
1C01,1961,183,49.8,-120.8666667,994,-0.239000252
1C01,1962,193,49.8,-120.8666667,994,-0.109674747
1C01,1963,122,49.8,-120.8666667,994,-1.027885835
1C01,1964,274,49.8,-120.8666667,994,0.937861847
1C01,1965,198,49.8,-120.8666667,994,-0.045011994
1C01,1966,218,49.8,-120.8666667,994,0.213639017
1C01,1967,295,49.8,-120.8666667,994,1.209445408
1C01,1968,231,49.8,-120.8666667,994,0.381762174
1C01,1969,234,49.8,-120.8666667,994,0.420559825
